Row Labels,Accommodation,Accounting & tax services,Advertising & market research,Agriculture,Air transport,Animal feeds,Aquaculture,Architectural services etc,Auxiliary financial services,Bakery & farinaceous,Beer & malt,Building & landscape services,Business support services,Cement lime & plaster,Cleaning & toilet preparations,Coal & lignite,"Coke, petroleum & petrochemicals",Computer services,"Computers, electronics & opticals",Construction,Creative services,Cultural services,"Dairy products, oils & fats processing",Education,Electrical equipment,Electricity,Employment services,Fabricated metal,Film video & TV etc; broadcasting,Financial services,Fish & fruit processing,Fishing,Food & beverage services,Forestry harvesting,Forestry planting,Furniture,Gambling,Gas etc,"Glass, clay & stone etc",Grain milling & starch,Head office & consulting services,Health,Households as employers,Imputed rent,Information services,"Inorganic chemicals, dyestuffs & agrochemicals",Insurance & pensions,Iron & Steel,Leather goods,Legal activities,Machinery & equipment,Meat processing,Membership organisations,Mining Support,Motor Vehicles,"Oil & gas extraction, metal ores & other",Other chemicals,Other food,Other land transport,Other manufacturing,Other metals & casting,Other personal services,Other professional services,Other transport equipment,"Paints, varnishes and inks etc",Paper & paper products,Pharmaceuticals,Post & courier,Printing and recording,Public administration & defence,Publishing services,Rail transport,Real estate - fee or contract,Real estate - own,Rental and leasing services,Repair & maintenance,Repairs - personal and household,Research & development,Residential care and social work,Rubber & Plastic,Security & investigation,Soft Drinks,Spirits & wines,Sports & recreation,Support services for transport,Telecommunications,Textiles,Tobacco,Travel & related services,Veterinary services,"Waste, remediation & management",Water and sewerage,Water transport,Wearing apparel,Wholesale & Retail - vehicles,Wood and wood products
Beer & malt,1.798716,0.036099,0.034966,0.080045,0.166178,0.979826,0.136677,0.027557,0.028185,0.080449,1003.213,0.080376,0.043522,0.063004,0.044164,0.030372,0.050237,0.015775,0.135764,0.048678,0.091195,0.066226,0.082356,0.023475,0.058436,0.025357,0.022854,0.051767,0.03552,0.051905,0.091649,0.032761,7.410018,0.071751,0.036635,0.0501,0.088242,0.03217,0.049046,0.090359,0.029337,0.045827,0,0.007064,0.017902,0.059215,0.078298,0.07576,0.060421,0.026221,0.067028,0.107164,0.295026,0.024213,0.099561,0.045454,0.046218,0.092855,0.028815,0.042117,0.068184,0.012059,0.023234,0.054766,0.048895,0.06029,0.014541,0.051102,0.046149,0.050997,0.030287,0.044221,0.017412,0.017656,0.021334,0.034563,0.05252,0.041777,0.133549,0.052652,0.028774,0.052349,5.448932,0.087759,0.045056,0.036059,0.050374,0,0.077878,0.038372,0.036326,0.01142,0.064047,0.054456,0.033777,0.05401
Building & landscape services,7.120787,2.645118,3.550789,1.22276,8.833494,1.017286,2.252973,9.012316,3.646086,0.892843,3.613466,1129.588,2.669431,1.874825,2.278103,1.314092,3.380522,13.86203,2.032418,6.400969,30.32999,44.34674,1.075876,6.127945,1.836075,1.383189,3.046989,1.223756,8.474047,9.764233,1.396913,1.623693,6.646038,1.790987,1.68585,4.107694,6.164571,1.56092,2.035568,1.031796,22.93522,6.734597,0,0.992451,6.654929,1.326625,11.61771,1.770687,1.136866,4.605819,2.184276,1.113788,4.42454,1.471343,1.541238,1.514817,1.426216,1.055643,4.942484,2.278225,1.720136,1.961661,20.17822,2.250525,1.444646,1.831983,0.944691,3.795483,2.818077,7.026103,1.416327,3.351965,16.117,7.082795,4.747958,2.096867,5.180465,5.611872,4.125166,2.289913,12.40332,1.616604,3.389012,16.38736,4.106007,3.283023,1.090553,0,3.61909,6.049991,10.48832,0.878348,3.121449,1.692985,3.448736,3.494721
Business support services,4.831114,1.921725,2.494653,1.267593,3.052237,1.415442,1.716456,8.150744,2.933444,0.969562,1.911881,3.103449,1057.029,1.718206,1.149658,0.926289,1.576142,13.5209,1.991645,2.793825,8.021696,6.754979,1.529964,2.792666,1.873051,0.998418,1.279489,0.93071,7.602679,7.141784,3.567878,1.115749,4.079492,1.392449,1.148214,3.458139,6.857699,0.867688,1.783991,1.39651,24.46623,1.320433,0,0.583028,14.05231,1.206992,6.81833,1.457307,0.869312,6.703033,1.647636,1.05212,6.631113,1.754347,1.442056,1.742463,1.156598,1.235606,8.147323,1.837473,1.52007,1.61002,9.447903,2.124356,1.012083,1.305489,1.008231,3.1964,1.620202,3.733275,1.019312,3.030374,2.149178,1.731269,5.254034,1.729119,8.105315,17.3685,1.991615,1.512236,2.616369,2.003065,1.670815,7.184318,3.483949,2.489714,0.890861,0,3.728575,2.808583,5.144726,0.707928,1.544209,1.738882,5.05937,1.777765
Cement lime & plaster,0.177311,0.099242,0.094272,2.340009,0.339516,0.333065,0.625051,0.199995,0.072645,0.186927,1.038014,0.619814,0.102605,1014.073,0.306355,0.8653,0.28844,0.103738,0.216277,12.22427,0.358208,1.824481,0.870791,0.534044,0.247671,0.195268,0.099986,0.307989,0.148712,0.197591,0.36871,0.480432,0.201435,2.808622,0.483424,0.441217,0.131451,0.137275,2.843232,0.633784,0.091054,0.220441,0,0.420438,0.086348,1.450916,0.473532,1.308179,0.268299,0.151013,0.284999,0.845209,0.231283,0.390257,0.373772,18.43982,0.379198,0.433487,0.215532,0.693355,0.305141,0.060344,0.079909,0.416453,0.443799,0.276355,0.053656,0.272475,0.29637,0.824235,0.118124,1.271333,0.154828,1.191453,0.12084,0.160343,0.123189,0.095499,0.10385,0.53907,0.084866,0.38086,0.423225,1.550282,0.290548,0.36076,0.125773,0,0.338929,0.167741,0.777628,0.601562,0.28759,0.182614,0.195475,0.546574
Cleaning & toilet preparations,0.105695,0.032678,0.080238,0.675444,0.103083,0.323883,0.290773,0.050764,0.055549,0.32807,0.274399,1.466133,0.05908,0.184245,1008.197,0.1741,0.87638,0.037306,0.156034,0.114164,0.120393,0.374939,0.384307,0.179383,0.113617,0.032686,0.020831,0.125183,0.05426,0.045162,0.242678,0.132298,0.159247,0.241636,0.176136,0.07935,0.074919,0.045887,0.164758,0.32975,0.044008,0.10624,0,0.007766,0.049929,1.991822,0.051537,0.192621,0.216579,0.027688,0.137138,0.345702,0.091217,0.054851,0.202625,0.180008,1.697504,0.216506,0.10706,0.101256,0.13219,0.214591,0.053463,0.109979,1.059987,0.323829,0.064234,0.081528,0.293939,0.131862,0.079845,0.082798,0.069814,0.03009,0.066049,0.062732,0.042688,0.210681,0.20819,0.248427,0.05813,0.14142,0.133571,0.223845,0.03564,0.048638,0.229399,0,0.05396,0.537157,0.185369,0.152496,0.042025,0.111019,0.152204,0.143156
Coal & lignite,0.028722,0.017592,0.01366,0.044445,0.028562,0.100173,0.203533,0.028302,0.027787,0.069431,0.08511,0.023734,0.020531,0.540543,0.036286,1002.183,0.428699,0.021921,0.045526,0.086331,0.042761,0.07268,0.071279,0.027205,0.061391,2.951902,0.024149,0.136416,0.011388,0.023995,0.101849,0.131953,0.025248,0.081507,0.054246,0.104422,0.014279,0.431868,0.200718,0.0725,0.013223,0.038257,0,0.023004,0.023474,0.214557,0.027124,0.085446,0.031902,0.016493,0.088057,0.065911,0.015245,0.105692,0.036934,0.181794,0.023471,0.196596,0.043501,0.052416,0.154284,0.015719,0.012286,0.108075,0.044338,0.239519,0.027386,0.038832,0.085283,0.035692,0.026794,0.15417,0.01457,0.023019,0.049871,0.042086,0.018537,0.019331,0.022651,0.061624,0.007448,0.051985,0.079958,0.04086,0.027325,0.028908,0.036267,0,0.039169,0.042945,0.078401,0.064205,0.014559,0.053296,0.035512,0.084885
"Coke, petroleum & petrochemicals",0.408622,0.238034,0.184447,1.280682,1.825666,1.179514,1.346045,0.371151,0.260443,0.826983,0.843009,0.65098,0.390793,1.341725,1.696493,1.585534,1002.443,0.251816,0.928306,1.003954,0.387474,0.365117,1.229842,0.225073,1.170148,0.568233,0.188065,0.764212,0.180178,0.335067,1.129652,1.262777,0.460054,1.414918,0.988291,1.288743,0.291608,0.338135,1.371404,0.941318,0.218773,0.462334,0,0.120995,0.284413,1.606126,0.442611,1.558353,0.874923,0.229322,0.868244,1.186405,0.2616,0.436285,1.342515,1.333941,4.129545,0.9439,1.683488,0.780544,0.784467,0.131856,0.235524,0.90045,2.145473,1.250254,0.323243,0.436515,1.152631,0.464343,0.347108,0.582662,0.199625,0.331483,0.408955,0.399843,0.350878,0.387233,0.392117,2.489065,0.207427,1.043315,0.617252,0.299107,0.259066,0.486743,1.047839,0,0.545379,0.622398,0.574268,0.384972,0.424538,0.668176,0.611932,1.170218
Computer services,4.207349,4.771597,5.742429,1.325156,8.640415,1.777859,1.522145,6.119907,10.81716,1.301987,2.958287,3.9139,5.683105,1.675597,1.714991,3.208694,1.564683,1006.849,2.083294,2.525909,9.877122,3.863182,1.252822,1.767071,2.123691,2.02595,6.634255,1.700493,3.376446,7.451695,1.826596,1.868517,2.495409,1.575605,1.222869,3.575788,2.728004,2.666011,1.402186,1.27739,6.876431,2.312961,0,0.641133,9.749415,1.108388,9.868713,1.970138,1.969398,3.674038,2.3596,1.61744,2.695509,1.886738,1.918884,1.400005,1.06753,1.664391,3.131986,3.146654,1.908043,1.890821,4.074107,4.556552,1.914036,1.548296,1.97669,5.48067,2.606331,4.310454,2.607354,5.04343,5.030636,1.936526,3.217671,3.725572,6.042375,6.681574,1.649777,1.231918,2.896457,2.339943,2.836502,4.329253,1.832136,6.615093,0.957653,0,6.953345,3.237664,2.623118,1.329591,6.414835,2.32137,3.698454,2.294641
"Computers, electronics & opticals",0.24717,0.172195,0.281721,0.822212,2.020675,1.492937,4.180933,0.776623,0.450486,1.059,5.329212,1.078587,0.371458,0.749191,2.045457,1.830611,1.400047,0.553617,1019.134,3.279227,0.491685,1.53853,0.920317,0.54912,9.41481,1.460396,0.18107,2.550561,0.398619,0.376506,1.608841,6.050501,0.340136,2.030556,1.740413,1.134103,0.404801,0.492626,1.066997,1.432344,0.239009,3.282833,0,0.174774,0.836259,0.576493,0.552462,1.508247,0.689527,0.257847,7.019541,0.839411,0.248198,3.290406,5.734056,1.24335,2.216603,1.07364,1.293959,5.743524,2.930362,0.239965,0.355149,11.63868,2.291211,1.086588,0.397243,0.553339,1.02574,3.82634,0.449686,1.199375,0.312108,0.584347,0.981119,5.999408,2.912361,4.051452,0.469899,3.55387,0.279227,2.327729,1.457971,0.937451,0.705749,4.180776,0.671723,0,0.749555,3.093146,1.78001,0.642069,2.487394,0.67394,0.912424,2.777405
Construction,12.25849,7.356997,6.046463,24.32567,22.61054,7.213957,47.14189,12.81594,5.034034,8.561445,9.54572,5.797138,4.098349,17.17294,4.055008,15.63887,12.48285,6.272487,3.306115,1226.055,17.16278,31.63922,10.64182,5.981365,5.78898,15.57373,7.442987,9.736372,4.351882,16.09505,11.47728,41.29191,12.12717,40.57828,34.23897,33.25973,5.731053,10.67142,10.70709,9.779073,5.810556,8.310468,0,41.67951,5.819053,5.243511,42.75138,6.591414,13.92797,12.08636,9.507974,13.29019,8.806109,29.88672,5.600675,11.66708,2.67963,9.127841,12.22197,16.32156,8.056251,3.248097,3.784637,20.29359,8.050143,8.88858,2.024409,17.92539,19.57406,41.40094,7.048863,8.838238,12.56255,113.8911,7.976587,9.576808,7.581602,3.467613,6.051132,6.283549,3.042994,9.896498,7.588079,14.39752,16.02717,27.94586,4.816629,0,22.62913,9.970758,27.2062,22.99959,25.11732,10.83187,10.10721,18.73341
