Row Labels,Accommodation,Accounting & tax services,Advertising & market research,Agriculture,Air transport,Animal feeds,Aquaculture,Architectural services etc,Auxiliary financial services,Bakery & farinaceous,Beer & malt,Building & landscape services,Business support services,Cement lime & plaster,Cleaning & toilet preparations,Coal & lignite,"Coke, petroleum & petrochemicals",Computer services,"Computers, electronics & opticals",Construction,Creative services,Cultural services,"Dairy products, oils & fats processing",Education,Electrical equipment,Electricity,Employment services,Fabricated metal,Film video & TV etc; broadcasting,Financial services,Fish & fruit processing,Fishing,Food & beverage services,Forestry harvesting,Forestry planting,Furniture,Gambling,Gas etc,"Glass, clay & stone etc",Grain milling & starch,Head office & consulting services,Health,Households as employers,Imputed rent,Information services,"Inorganic chemicals, dyestuffs & agro-chemicals",Insurance & pensions,Iron & Steel,Leather goods,Legal activities,Machinery & equipment,Meat processing,Membership organisations,Mining Support,Motor Vehicles,"Oil & gas extraction, metal ores & other",Other chemicals,Other food,Other land transport,Other manu-facturing,Other metals & casting,Other personal services,Other professional services,Other transport equipment,"Paints, varnishes and inks etc",Paper & paper products,Pharma-ceuticals,Post & courier,Printing and recording,Public administration & defence,Publishing services,Rail transport,Real estate - fee or contract,Real estate - own,Rental and leasing services,Repair & maintenance,Repairs - personal and household,Research & development,Residential care and social work,Retail - excl vehicles,Rubber & Plastic,Security & investigation,Soft Drinks,Spirits & wines,Sports & recreation,Support services for transport,Telecommunications,Textiles,Tobacco,Travel & related services,Veterinary services,"Waste, remediation & management",Water and sewerage,Water transport,Wearing apparel,Wholesale - excl vehicles,Wholesale & Retail - vehicles,Wood and wood products
Tobacco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0
Travel & related services,10.10217771,8.981376704,2.863025285,2.80723825,97.95361967,4.545906181,4.455848036,2.276008618,13.73404827,6.537432261,6.47181054,1.501184573,1.417124739,5.095900576,3.475362144,5.257968245,1.716915106,3.047159829,2.43918416,3.690762438,6.46055595,1.24044954,3.846876936,2.669278079,3.462220336,3.67165136,7.984047994,2.824859002,3.316860305,10.89415314,4.351795039,2.729013352,16.14153967,4.762222147,3.87165229,4.31155984,1.43884596,2.430757311,3.392330425,4.471516616,1.5677244,3.008679107,0,0.435612303,2.925188894,3.335062708,2.977458022,3.19098488,5.013877144,4.897852761,6.223831442,4.027124856,1.186554564,1.343669722,3.795673268,7.766836543,2.724256285,3.302846686,58.11379834,3.614583151,2.100794451,1.79858549,1.137295366,5.222918824,2.574882233,6.85045259,1.152994383,12.39802385,5.224726981,3.175717193,3.042466847,8.950247905,4.639316102,2.247346124,4.175244184,10.14860035,1.926442897,0.89049737,1.579718659,11.87361418,2.481541805,1.477844991,3.271313872,8.12525602,1.867489593,13.42094369,7.27907704,3.615793029,0,1653.477271,2.025037259,5.571846322,1.137746023,134.3388952,4.378414118,14.18838801,24.45664798,4.475669859
Veterinary services,0.225022054,0.009699209,0.016048756,7.369182615,0.017948109,0.482717808,7.202639276,0.011969893,0.011215119,0.144394436,0.105365796,0.013038377,0.010278049,0.009520397,0.018361736,0.014267364,0.009593838,0.012431767,0.01229422,0.022120604,0.040815256,0.027626173,2.499139515,0.043123003,0.007200836,0.006564178,0.015387525,0.007920243,0.749880485,0.013986572,0.684016009,0.019210124,0.144432005,0.102423464,0.252914956,0.010033824,0.019950932,0.006874407,0.011310173,1.39095341,0.009006009,0.09995234,0,0.002569109,0.010951767,0.00637096,0.016567732,0.009935084,0.273632091,0.009688447,0.008662385,2.218044153,0.040105984,0.004811985,0.007741395,0.009855671,0.013039071,1.01527248,0.012960339,0.009064485,0.005830304,0.008095582,0.01186075,0.008659146,0.010749687,0.009072278,0.100422589,0.012783273,0.008356299,0.017853197,0.011841346,0.019799783,0.006137796,0.00980877,0.010592466,0.012802238,0.00825016,0.009686659,0.151561655,0.050934992,0.033056803,0.007136928,0.092642885,0.113751376,2.587128604,0.011450836,0.009676346,0.010798935,0,0.065832529,1052.067786,0.020403317,0.003895774,0.030921469,0.007875762,0.023398387,0.012574948,0.022565991
"Waste, remediation & management",1.852270401,1.329702809,4.744858038,0.816154312,1.428436411,2.043815339,3.992163037,1.266285503,1.85433709,0.982878124,1.695854427,4.672385407,0.92889948,1.202907193,0.641324949,0.689727533,0.707710479,1.079650653,1.292088302,1.497183956,2.846728577,1.49672476,1.231459594,0.672274524,0.906339161,1.146603254,0.927379479,1.87819084,1.107281479,0.980209982,2.580148156,0.543887258,1.869830112,0.71617886,0.555514836,1.046661458,2.012643889,0.663785806,2.297445044,1.04139698,0.63708417,5.454801577,0,0.182145944,1.014463556,0.994710908,0.777239729,19.23274768,3.45700008,1.063173402,1.674329063,1.627730415,1.97992792,0.161402815,0.984213923,0.642961247,1.624875458,1.087133953,1.707195127,0.785863295,8.028852708,4.835232679,0.801425352,2.074768346,0.824603214,1.648477906,0.867842261,1.50570632,0.997235566,5.275849427,0.530840384,1.228590231,1.331785761,0.749155709,2.128570958,1.544998189,0.875145378,1.180790756,1.050305201,0.854316048,0.853921861,0.797950617,1.210506306,1.615717452,4.027409688,1.254998558,1.179472857,1.105845217,0,3.339354976,5.075759669,1100.5057,14.4582937,1.966046852,2.343268877,1.566706992,1.605869675,1.2771244
Water and sewerage,2.046448337,1.323247101,3.939308237,13.87449811,1.700430409,4.373603134,9.12499296,1.232612323,1.587967326,3.049268508,4.430230525,3.363745612,0.905067735,2.94937862,1.350122817,4.803403601,3.131401567,1.120131642,2.768794625,2.539556116,1.195499331,12.20936435,7.558286708,4.424143425,1.622426317,16.93053155,1.046351443,3.70948329,1.422039286,1.185628835,6.038608996,6.100160276,2.072287558,2.892591267,1.33673263,2.057585627,2.562068044,1.187161225,3.1311585,4.436499265,0.770396363,7.605364232,0,0.461665071,0.934377534,7.827869135,7.776059047,3.703270464,6.532139678,1.175930162,2.206971207,5.823101828,1.922117884,0.682504004,1.013093238,2.348579,4.423123599,4.717640683,1.482795694,1.613813177,2.355990779,4.065403691,1.008868533,2.989580605,1.583770644,5.641690092,1.649366004,1.62358415,2.341456709,3.591561422,0.793745498,1.175269233,0.472087888,1.171015562,2.206940035,1.787269403,0.952815357,1.394231428,3.227556113,1.332771373,1.950054685,0.936717898,2.504612908,9.251258396,9.846423889,1.101978356,1.208915072,4.531562606,0,1.927411376,2.126431402,43.85083527,1100.123086,1.167601689,2.250159618,1.368767506,1.170904755,2.395931155
Water transport,1.028409872,0.278727825,1.062314029,0.456408611,3.976774927,0.349030544,5.525051742,0.302680985,2.192437428,0.474636741,1.872791727,0.540564755,0.651438339,2.129933966,0.40464254,1.338676732,1.267875742,0.303752386,0.933850326,0.87378346,0.503235078,0.263339103,0.605949475,0.367694803,0.779329632,0.351252828,0.691255643,1.317351538,0.39823563,1.411839963,1.134830691,6.275535057,1.124573115,4.542868922,0.346646214,0.508716988,1.607905002,0.262899993,0.89929833,0.766616729,0.49139541,0.302986072,0,0.091810844,0.234321586,1.272515433,2.432773408,1.558253218,1.244863709,0.296895337,0.902763951,0.541744528,0.428800301,3.551766728,0.968880986,2.438808162,1.486478394,0.641164343,1.426328128,0.930297793,1.124742672,0.416285329,0.506929684,0.959701165,0.554217398,0.824811789,0.30428166,3.965482138,5.40369382,0.469377847,2.242004798,3.98512282,0.365822284,0.241260826,1.22615349,1.615226347,0.294105062,0.124509746,0.519667054,0.477657865,0.576249685,0.60793111,0.481606186,1.87068472,0.580849986,7.310769077,1.109319699,0.614266749,0,7.281230716,0.195944488,2.200568781,0.475462484,1048.610724,0.836195059,3.363371211,2.293287458,1.03860947
Wearing apparel,0.803258076,0.398776486,1.037383315,0.163889851,0.550480033,0.158282288,1.105784638,0.564026356,0.454862382,1.0257431,0.20079265,2.35870165,0.414474023,0.199018865,0.183181654,0.242478078,0.178691399,0.628476884,0.194804578,0.525263111,4.665407035,0.605729206,0.265618668,0.436643472,0.1750081,0.115367874,0.821331164,0.197949003,1.536976002,0.495019805,0.291050699,0.670890889,0.816596671,1.08412752,2.430976839,0.277210882,0.917053598,0.116849122,0.176711427,0.233597439,0.304879571,1.520785762,0,0.054019111,0.316648805,0.130664097,0.345103744,0.163427047,0.296127733,0.956525666,0.358879216,0.182465513,1.031534237,0.192066301,0.265608779,0.242481536,0.169594162,0.202900541,0.480447185,0.372548341,0.116582721,1.395472831,0.380951376,0.280755074,0.163159455,0.22266453,0.104787481,0.564618984,0.196137842,1.562541392,0.150350739,0.479768572,0.153194775,0.155026156,0.496574025,0.357672759,0.157050455,0.703975493,0.897492304,0.362873622,0.190666007,1.166930637,0.208758413,0.173656403,1.540246432,0.36670017,0.212074634,1.963806529,0,0.411676395,1.45648605,0.288306112,0.157821258,0.130100006,1021.365036,0.631608069,0.523424895,0.325796413
Wholesale - excl vehicles,16.89531824,4.46374703,9.798263276,30.36767776,9.368083053,32.07370808,36.28292002,6.64435284,7.678458564,28.8322349,41.09838922,10.6546618,4.389783537,43.1961566,26.79404804,26.1138086,42.21159666,10.59593156,64.31748261,29.10559691,16.77173629,10.84803689,48.45318956,6.449459608,37.91038932,17.32573776,8.177443331,41.98910266,7.049254202,7.456765045,52.228957,17.7241041,22.89848968,49.16752905,12.93510556,33.40869363,7.174141301,24.59302032,33.09926049,34.5811586,5.178448664,13.90430823,0,1.93591445,7.291648772,29.5397791,7.237821321,55.79564167,33.40966537,6.615732367,42.06171864,44.40874299,7.522266769,4.120672073,56.81944435,34.20960564,32.2164743,32.44261493,14.18744658,28.1611956,40.55453327,7.466287287,5.142148342,27.5793325,37.86648282,36.34648201,18.75743695,6.267742839,29.6290196,13.46446373,24.89830654,9.022861839,3.79484883,6.318943155,11.461738,37.79497036,25.10484762,4.275366544,7.067971945,7.752087909,25.58469684,13.2597001,36.54890521,24.10297927,14.89570597,8.715739957,15.46453099,38.31697057,0,13.18019778,10.52421513,15.18221272,6.507699533,6.643874804,54.62079726,1012.048531,23.76600323,41.38355774
Wholesale & Retail - vehicles,7.206455457,2.842752475,8.220645847,37.51672138,16.52468265,9.132129253,7.192576032,3.575058649,6.417326648,14.37340246,7.904345806,7.323443095,3.596145057,9.772506238,23.46091317,18.50951588,4.706222535,13.56791357,10.62794698,24.35053744,5.192602004,4.572280153,24.64402538,3.6778721,13.25274896,4.496852302,5.022476557,6.830989374,4.119834567,9.194785833,18.4034166,19.20118343,7.704218862,36.25868197,44.54032464,14.56577608,5.944555653,3.31371895,9.8206197,12.17609038,2.794407306,5.300654054,0,1.528696151,12.65969055,4.29870684,9.707130473,14.14858582,9.240218163,7.310463922,21.77370763,20.66490824,4.41210508,2.323981989,49.75236175,12.64112479,11.32389267,17.12128586,38.03255649,11.97560099,3.948242854,10.08903161,3.717728956,11.67932174,13.24795202,14.75228861,4.026199022,13.55563904,9.40986584,7.186421678,11.55777793,32.11544368,3.533313,6.6356239,52.92495987,17.70365791,11.29946211,3.436819692,5.400069603,8.809476306,29.37358035,12.99534957,22.99137592,8.49420721,6.436627214,13.0935829,11.70634428,6.855644485,0,21.04965296,3.84478911,16.25164527,4.21810574,13.62004268,3.935112735,23.35231639,1040.963375,18.88107539
Wood and wood products,1.71097394,0.916664503,1.775507745,1.511053015,0.803437841,1.474408568,1.365808086,0.960283422,1.069636006,0.902957513,2.912267832,5.635826756,0.753738809,7.520943024,1.101972385,3.409843176,1.763502677,0.992708989,1.109102245,21.8253973,5.040102167,1.767192934,1.313871682,1.517793362,3.201159981,0.799080581,1.447649258,4.588489908,1.548584352,0.902271325,1.431182653,5.506733987,1.435841675,2.383207463,4.48088491,101.9058894,3.840076054,1.082598348,0.837407169,1.026565984,0.778917217,0.560285221,0,1.074757155,0.665984224,0.452734255,1.941674924,1.370332253,1.115364031,1.377321148,2.704786184,2.462914146,1.999724145,0.562663015,4.21113529,1.718301395,0.789613584,1.374972546,0.968397015,5.075464898,0.894038416,0.646947971,0.713844388,6.56449793,3.990135069,5.683294333,0.553280649,0.87930616,1.279652376,1.29096374,1.281346744,1.592059844,1.969881608,2.764014095,1.050100128,2.150203495,0.593090583,0.464230263,0.800884921,1.680142891,2.470295956,0.66019495,4.608082496,1.902894306,1.619395997,1.864638371,1.454770772,0.995452103,0,1.691120203,0.72133071,1.87451654,0.704759104,0.957965027,0.714129062,1.563757995,1.077137034,1192.494188
